company,URL,PIB,Full name,Address
DRVOIMPEX,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/drvoimpex,02628155,"DRVOIMPEX ZA IZVOZ, UVOZ I UNUTRAŠNJI PROMET","BULEVAR REVOLUCIJE 5, PODGORICA, Crna Gora"
ŽELJEZNIČKA INFRASTRUKTURA CRNE GORE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/v-w-z-z/zeljeznicka-infrastruktura-crne-gore,02723816,ŽELJEZNIČKA INFRASTRUKTURA CRNE GORE A.D.," Trg golootočkih žrtava 13, PODGORICA, Crna Gora"
ŽELJEZNIČKI PREVOZ CRNE GORE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/v-w-z-z/zeljeznicki-prevoz-crne-gore,02723620,"""ŽELJEZNIČKI PREVOZ CRNE GORE"" A.D."," Trg golootočkih žrtava br.13, PODGORICA, Crna Gora"
DRVOIMPEX - ČELUGE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/drvoimpex-celuge,02256436,DRVOIMPEX ČELUGE  ZA TRGOVINU NA VELIKO I MALO A.D,"ČELUGE BB, BAR, Crna Gora"
DRVOIMPEX - MONT,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/drvoimpex-mont,02971429,DRVOIMPEX-MONT,"Oktobarske revolucije 3/16, Podgorica, Crna Gora"
ATLAS LIFE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/atlas-life,02695227,ATLAS LIFE A.D Podgorica,"Stanka  Dragojevića 4, PODGORICA, Crna Gora"
START COM,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/startcom,02274256,"""START COM"" AKCIONARSKO DRUŠTVO ZA TRGOVINU I USLUGE PODGORICA","BULEVAR REVOLUCIJE BR.3, PODGORICA, Crna Gora"
DRVOIMPEX-MOBILE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/drvoimpex-mobile,02256444,DRVOIMPEX  MOBILE ZA TRG.  A.D,"BULEVAR REVOLUCIJE BR.5, Podgorica, Crna Gora"
DRVOIMPEX-MERVEL,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/drvoimpex-mervel,02274132,DRVOIMPEX MERVEL ZA SPOLJAŠNJU I UNUTR.TRG. A.D,"bulevar revolucije br.5, PODGORICA, Crna Gora"
DRVOIMPEX-PREHRANA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/drvoimpex-prehrana,02256509,DRVOIMPEX PREHRANA ZA TRGOVINU NA V. I MALO A.D,"Bulevar revolucije br.5, PODGORICA, Crna Gora"
DRVOIMPEX-SPOLJOPRED,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/drvoimpex-spoljopred,02274264,DRVOIMPEX SPOLJOPRED ZA TRGOVINU NA V. I M. A.D,"Bulevar Revolucije br.5, Podgorica, Crna Gora"
EKOS BANKA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/e-f-g-h/ekos-banka,02293323,EKOS BANKA A.D PODGORICA U STEČAJU,"Novaka Miloševa br.6, PODGORICA, Crna Gora"
DRVOIMPEX-STANDARD,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/drvoimpex-standard,02257670,DRVOIMPEX STANDARD A.D PODGORICA,"BULEVAR REVOLUCIJE BR.5, PODGORICA, Crna Gora"
DUKLJA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/duklja,02013665,DUKLJA A.D PODGORICA,"NOVAKA MILOŠEVA 6, Podgorica, Crna Gora"
ELEKTROINDUSTRIJA OBOD,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/e-f-g-h/elektroindustrija-obod,02004658,"ELEKTROINDUSTRIIJA""OBOD"" U STEČAJU A.D CETINJE","Bulevar Crnogorskih junaka b.b., Cetinje, Crna Gora"
ELEKTROPRIVREDA CRNE GORE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/e-f-g-h/elektroprivreda-crne-gore,02002230,ELEKTROPRIVREDA CRNE GORE A.D NIKŠIĆ,"VUKA KARADŽIĆA BR.2, NIKŠIĆ, Crna Gora"
ERSTE BANK,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/e-f-g-h/erste-bank,02351242,ERSTE  BANK A.D,"Studentska bb, PODGORICA, Crna Gora"
EUROFOND ZIF,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/e-f-g-h/eurofond-zif,02359472,"Zatvoreni investicioni fond ""EUROFOND"" - u postupku transformacije","Svetog Petra Cetinjskog 78, Podgorica, Crna Gora"
ELEKTROTEHNA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/e-f-g-h/elektrotehna,02199734,ELEKTROTEHNA U STEČAJU,"Simona Ivanova 1, PODGORICA, Crna Gora"
EUROINVEST,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/e-f-g-h/euroinvest,02332019,DRUŠTVO ZA UPRAVLJANJE PRIV. INV FONDOM EUROINVEST,"Svetog Petra Cetinjskog 78, Podgorica, Crna Gora"
FABRIKA BETONSKIH ELEMENATA ZATON,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/e-f-g-h/fabrika-betonskih-elemenata-zaton,02291720,FABRIKA BETONSKIH ELEMENATA ZATON A.D u stečaju,"UL. NEDELJKA MERDOVIĆA BR.15, BIJELO POLJE, Crna Gora"
FJORD,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/e-f-g-h/fjord,02014912,"HP "" FJORD"" A.D KOTOR","Stari grad 476, KOTOR, Crna Gora"
FRIGO BELL,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/e-f-g-h/frigo-bell,02278766,HLADNJAČA A.D BERANE,"DUŠANA VUJOŠEVIĆA 14, BERANE, Crna Gora"
FLASH,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/e-f-g-h/flash,02788888,AD  FLASH  PODGORICA,"Bul. Sv.Petra Cetinjskog br.80, Podgorica, Crna Gora"
GENERALI OSIGURANJE MONTENEGRO,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/e-f-g-h/generali-osiguranje-montenegro,02702967,Akcionarsko društvo za osiguranje GENERALI OSIGURANJE MONTENEGRO,"Kralja Nikole 27 A / VI, PODGORICA, Crna Gora"
FUDBALSKI KLUB BUDUĆNOST,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/e-f-g-h/fudbalski-klub-buducnost,02707306,"""FUDBALSKI KLUB ""BUDUĆNOST"" A.D. Podgorica","UL. VAKA ĐUROVIĆA BR.2, PODGORICA, Crna Gora"
GRAĐEVINSKO PREDUZEĆE PRIMORJE,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/e-f-g-h/gradevinsko-preduzece-primorje,02006669,GP PRIMORJE U STEČAJU A.D ULCINJ,"BIJELA GORA BB, ULCINJ, Crna Gora"
GRADINA-KVARTA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/e-f-g-h/gradina-kvarta,02278456,GRADINA  KVARTA A.D,"VOJA LJEŠNJAKA BB, BIJELO POLJE, Crna Gora"
GORICAPROMET,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/e-f-g-h/goricapromet,02026384,GORICAPROMET D.D PODGORICA,"OKTOBARSKE REVOLUCIJE 93, PODGORICA, Crna Gora"
GORNJI IBAR - PODGORICA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/e-f-g-h/gornji-ibar-podgorica,02297345,GORNJI IBAR A.D PODGORICA,"4 JULA B.B., PODGORICA, Crna Gora"
IMAKO,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/i-j-k-l/imako,02045982,IMAKO A.D   BIJELO POLJE,"INDUSTRIJSKA BB, BIJELO POLJE, Crna Gora"
